SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE
0,2011-07-08 00:00:00,07-AUG-11,08,1202,519755.22,287.25,5000029885,2007.0,4.0,6.0,Pick-up,3153.0,NISSAN,Own Goods
0,2011-07-08 00:00:00,07-AUG-11,08,1202,285451.24,155.01,5000029901,2010.0,4.0,7.0,Pick-up,2494.0,TOYOTA,Own Goods
0,2011-07-08 00:00:00,07-AUG-11,01,1201,200000.0,111.22,5000030346,1982.0,10.0,,Station Wagones,4164.0,TOYOTA,Private
1,2011-07-13 00:00:00,12-JUL-12,10,1202,543355.9,5897.36,5000031294,2010.0,0.0,,Trailers and semitrailers,0.0,MESFIN,General Cartage
1,2011-07-13 00:00:00,12-JUL-12,10,1202,2592457.65,19928.235,5000031298,2010.0,0.0,158.0,Truck,12880.0,IVECO,General Cartage
